close,high,low,trades,open,time,volume,vwap,MA50,RSI,MACD,BB_upper,BB_lower,ADX,CCI,ATR,ROC,OBV
326.65,326.82,326.6,199,326.6,2025-02-25 00:29:00+00:00,6945,326.714519,326.15841,53.434352560641,-0.10886366903793,326.627259016816,325.041670983184,37.0743904560634,188.512127428494,0.35119617254357,0.144307134143695,-12199
326.9122,327,326.52,133,326.53,2025-02-25 00:30:00+00:00,8833,326.892102,326.153816666667,56.7481685948676,-0.0258350981740136,326.793594396798,324.958555603202,36.9099077884938,188.64317344151,0.360396445933316,0.372182990482037,-3366
326.78,326.96,326.78,111,326.96,2025-02-25 00:31:00+00:00,3785,326.864655,326.139816666667,54.7171755086316,0.0289643245617981,326.92177888568,324.926371114321,36.7571738828934,159.341734513347,0.347510985509509,0.454964648017203,-7151
326.85,327,326.61,99,326.61,2025-02-25 00:32:00+00:00,2919,326.866749,326.129483333333,55.5878350830325,0.0771523130350715,327.049407890965,324.899742109035,35.9145641040362,131.886868962603,0.350545915115971,0.45795426604377,-4232
326.5,326.9,326.5,140,326.9,2025-02-25 00:33:00+00:00,3871,326.652848,326.104483333333,50.5596401326435,0.0861069784994584,327.103491895942,324.908658104058,34.7012192253744,91.2530230108032,0.354078349750543,0.282572639597032,-8103
326.2,326.5,326.11,194,326.5,2025-02-25 00:34:00+00:00,7680,326.320777,326.083756666667,46.8055382222932,0.0682098419999875,327.117631787949,324.916518212051,32.2523640414626,36.0404378831711,0.356644181911218,0.156590622985044,-15783
326.0552,326.2,326,133,326.05,2025-02-25 00:35:00+00:00,4927,326.057858,326.05893,45.1322913165585,0.0418595516713936,327.120483520237,324.919186479763,30.2426125758364,9.91557808043898,0.345455311774701,0.210591019454777,-20710
326.1,326.26,326,108,326.0552,2025-02-25 00:36:00+00:00,2889,326.118255,326.045596666667,45.7529765441898,0.0243114945573097,327.10864347169,324.91602652831,28.1843039728129,15.833867404742,0.33935136093365,0.218199698822962,-17821
326.3,326.3,325.88,126,326.1,2025-02-25 00:37:00+00:00,4080,326.035211,326.03889,48.4463067794553,0.0262403786467189,327.119606281821,324.917133718179,26.644121228181,20.5445737176919,0.345111978009819,0.273501121661899,-13741
326.2213,326.2213,325.8,88,325.8,2025-02-25 00:38:00+00:00,1770,326.023439,326.0316,47.4865692428988,0.021174514287793,327.13895226213,324.94991773787,25.4571399768749,7.48604678779782,0.356175408151975,0.224676641371463,-15511
